VNBW Multi OLS survey data
ObstacleID	ObstacleType	Latitude	Longitude	RL of Plinth	Height above plinth
101	Tree	27.50111524	83.43858719	108	35
102	Building	27.49746084	83.46330643	107	25.32
103	Tower	27.49548133	83.48922729	102.65	46.95
104	Hospita	27.50613984	83.42399597	106.32	43.62
105	Tree	27.50339918	83.39653015	118.32	24.87
106	Tree	27.46228108	83.3731842	107.98	32.987
107	Tower	27.50796691	83.38880539	106.35	45.65
108	Building	27.53232492	83.29559326	109.324	62.87
109	Building	27.54693715	83.24890137	102.35	15.65
110	Tree	27.52806266	83.44768524	107.03	18.95
111	Chimney	27.47659801	83.52973938	108.32	24.625
112	Chimney	27.51314344	83.34777832	109.45	265.35
113	Chimney	27.50979394	83.37696075	106.04	25.35
114	Mast	27.51984211	83.33026886	105.025	18.325
115	Mast	27.50004939	83.45386505	108.36	41.35
116	Chimney	27.5070480555556	83.4679133333333	105.25	25.36
